postinumero,linkki
40100,https://fi.wikipedia.org/wiki/Keskusta_(Jyväskylä)
40100,https://fi.wikipedia.org/wiki/Harju_(kaupunginosa)
40100,https://fi.wikipedia.org/wiki/Puistola_(Jyväskylä)
40100,https://fi.wikipedia.org/wiki/Lutakko
40100,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40200,https://fi.wikipedia.org/wiki/Taulumäki
40200,https://fi.wikipedia.org/wiki/Mannila_(Jyväskylä)
40200,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40200,https://www.jyvaskyla.fi/asuminen/asuinalueet/mannila
40250,https://fi.wikipedia.org/wiki/Lohikoski
40250,https://www.jyvaskyla.fi/asuminen/asuinalueet/lohikoski
40270,https://fi.wikipedia.org/wiki/Palokka
40270,https://www.jyvaskyla.fi/asuminen/asuinalueet/palokka
40320,https://fi.wikipedia.org/wiki/Seppälä_(Jyväskylä)
40340,https://fi.wikipedia.org/wiki/Huhtasuo
40340,https://www.jyvaskyla.fi/asuminen/asuinalueet/huhtasuo
40400,https://fi.wikipedia.org/wiki/Halssila
40400,https://www.jyvaskyla.fi/asuminen/asuinalueet/halssila
40420,https://fi.wikipedia.org/wiki/Jyskä
40420,https://www.jyvaskyla.fi/asuminen/asuinalueet/jyska
40500,https://fi.wikipedia.org/wiki/Keljo
40500,https://www.jyvaskyla.fi/asuminen/asuinalueet/keljo
40520,https://fi.wikipedia.org/wiki/Kuokkala_(Jyväskylä)
40520,https://www.jyvaskyla.fi/asuminen/asuinalueet/kuokkala
40530,https://fi.wikipedia.org/wiki/Keljonkangas
40530,https://www.jyvaskyla.fi/asuminen/asuinalueet/keljo
40600,https://fi.wikipedia.org/wiki/Mattilanpelto
40600,https://fi.wikipedia.org/wiki/Kukkumäki_(Jyväskylä)
40600,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40620,https://fi.wikipedia.org/wiki/Kukkumäki_(Jyväskylä)
40620,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40630,https://fi.wikipedia.org/wiki/Kypärämäki
40630,https://www.jyvaskyla.fi/asuminen/asuinalueet/kyparamaki
40640,https://fi.wikipedia.org/wiki/Keltinmäki
40640,https://www.jyvaskyla.fi/asuminen/asuinalueet/keltinmaki-myllyjarvi
40660,https://fi.wikipedia.org/wiki/Ruoke
40700,https://fi.wikipedia.org/wiki/Mäki-Matti
40700,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40720,https://fi.wikipedia.org/wiki/Nisula
40720,https://www.jyvaskyla.fi/asuminen/asuinalueet/kantakaupunki
40740,https://fi.wikipedia.org/wiki/Kortepohja
40740,https://fi.wikipedia.org/wiki/Laajavuori_(asuinalue)
40740,https://fi.wikipedia.org/wiki/Haukkala
40740,https://www.jyvaskyla.fi/asuminen/asuinalueet/kortepohja
40800,https://fi.wikipedia.org/wiki/Vaajakoski
40800,https://www.jyvaskyla.fi/asuminen/asuinalueet/vaajakoski
40820,https://fi.wikipedia.org/wiki/Haapaniemi_(Jyväskylä)
40820,https://www.jyvaskyla.fi/asuminen/asuinalueet/vaajakoski
40900,https://fi.wikipedia.org/wiki/Säynätsalo
40900,https://www.jyvaskyla.fi/asuminen/asuinalueet/saynatsalo
41120,https://fi.wikipedia.org/wiki/Puuppola
41120,https://www.jyvaskyla.fi/asuminen/asuinalueet/puuppola
41140,https://fi.wikipedia.org/wiki/Kuikka_(Jyväskylä)
41160,https://fi.wikipedia.org/wiki/Tikkakoski
41160,https://www.jyvaskyla.fi/asuminen/asuinalueet/tikkakoski
41450,https://fi.wikipedia.org/wiki/Leppälahti_(Jyväskylä)
41450,https://www.jyvaskyla.fi/asuminen/asuinalueet/vaajakoski
41630,https://fi.wikipedia.org/wiki/Oravasaari
41630,https://www.jyvaskyla.fi/asuminen/asuinalueet/vaajakoski
41800,https://fi.wikipedia.org/wiki/Korpilahti
41800,https://www.jyvaskyla.fi/asuminen/asuinalueet/korpilahti
41820,https://fi.wikipedia.org/wiki/Saakoski
41840,https://fi.wikipedia.org/wiki/Moksi_(Korpilahti)
41860,https://fi.wikipedia.org/wiki/Tikkala_(Jyväskylä)
41870,https://fi.wikipedia.org/wiki/Putkilahti
41880,https://fi.wikipedia.org/wiki/Oittila
41930,https://fi.wikipedia.org/wiki/Kuohu
41930,https://www.jyvaskyla.fi/asuminen/asuinalueet/kuohu-vesanka
41940,https://fi.wikipedia.org/wiki/Vesanka
41940,https://www.jyvaskyla.fi/asuminen/asuinalueet/kuohu-vesanka
